breed,allergy,size,grooming,energy,kids,trainability
Samoyed,no,medium,2-3 Times a Week Brushing,home,yes,no
Schapendoes,no,medium,Weekly Brushing,apartment,yes,yes
Schipperke,no,small,Weekly Brushing,home,yes,no
Scottish Deerhound,no,big,Occasional Bath/Brush,apartment,yes,no
Scottish Terrier,yes,small,2-3 Times a Week Brushing,apartment,yes,no
Sealyham Terrier,no,small,2-3 Times a Week Brushing,apartment,yes,no
Segugio Italiano,no,medium,Weekly Brushing,apartment,yes,yes
Shetland Sheepdog,no,medium,2-3 Times a Week Brushing,apartment,no,yes
Shiba Inu,no,medium,Weekly Brushing,apartment,no,no
Shih Tzu,yes,small,Daily Brushing,apartment,yes,no
Shikoku,no,medium,Weekly Brushing,apartment,yes,no
Siberian Husky,no,medium,Weekly Brushing,home,yes,no
Silky Terrier,yes,small,2-3 Times a Week Brushing,apartment,yes,no
Skye Terrier,no,small,Daily Brushing,apartment,no,no
Sloughi,yes,big,Weekly Brushing,apartment,no,no
Slovakian Wirehaired Pointer,yes,medium,Occasional Bath/Brush,home,yes,no
Slovensky Cuvac,no,medium,Weekly Brushing,apartment,yes,no
Slovensky Kopov,no,medium,Occasional Bath/Brush,apartment,yes,yes
Small Munsterlander Pointer,no,medium,Occasional Bath/Brush,home,yes,no
Smooth Fox Terrier,yes,medium,Weekly Brushing,home,yes,no
Soft Coated Wheaten Terrier,yes,medium,2-3 Times a Week Brushing,home,yes,no
Spanish Mastiff,no,big,Occasional Bath/Brush,apartment,yes,no
Spanish Water Dog,yes,medium,Specialty/Professional,home,no,yes
Spinone Italiano,no,medium,Weekly Brushing,home,yes,no
Stabyhoun,no,medium,Occasional Bath/Brush,home,yes,yes
Staffordshire Bull Terrier,yes,medium,Weekly Brushing,home,yes,no
Standard Schnauzer,yes,medium,2-3 Times a Week Brushing,apartment,yes,no
Sussex Spaniel,no,medium,2-3 Times a Week Brushing,apartment,no,no
Swedish Lapphund,no,medium,Weekly Brushing,apartment,yes,no
Swedish Vallhund,no,small,Occasional Bath/Brush,home,yes,yes
Taiwan Dog,no,medium,Weekly Brushing,home,no,yes
Teddy Roosevelt Terrier,no,medium,Weekly Brushing,home,yes,yes
Thai Ridgeback,no,medium,Occasional Bath/Brush,home,no,no
Tibetan Mastiff,no,medium,2-3 Times a Week Brushing,apartment,yes,no
Tibetan Spaniel,no,small,Weekly Brushing,apartment,yes,no
Tibetan Terrier,no,medium,2-3 Times a Week Brushing,home,no,no
Tornjak,no,big,Weekly Brushing,apartment,yes,yes
Tosa,yes,medium,Occasional Bath/Brush,apartment,no,no
Toy Fox Terrier,yes,small,Weekly Brushing,home,yes,yes
Transylvanian Hound,no,medium,Weekly Brushing,home,yes,no
Treeing Tennessee Brindle,yes,medium,Weekly Brushing,apartment,yes,no
Treeing Walker Coonhound,no,medium,Occasional Bath/Brush,apartment,yes,no
Vizsla,no,medium,Weekly Brushing,home,yes,yes
Weimaraner,no,medium,Weekly Brushing,home,yes,yes
Welsh Springer Spaniel,no,medium,Weekly Brushing,home,yes,yes
Welsh Terrier,yes,medium,2-3 Times a Week Brushing,home,yes,no
West Highland White Terrier,no,small,Daily Brushing,apartment,yes,no
Wetterhoun,yes,medium,Occasional Bath/Brush,apartment,no,no
Whippet,yes,medium,Occasional Bath/Brush,apartment,no,no
Wire Fox Terrier,yes,medium,Weekly Brushing,apartment,yes,no
Wirehaired Pointing Griffon,no,medium,Weekly Brushing,home,yes,no
Wirehaired Vizsla,no,medium,Occasional Bath/Brush,home,yes,no
Working Kelpie,no,medium,Occasional Bath/Brush,home,yes,no
Xoloitzcuintli,yes,medium,Occasional Bath/Brush,home,yes,no
Yakutian Laika,no,medium,Weekly Brushing,home,no,no
Yorkshire Terrier,yes,small,Specialty/Professional,apartment,yes,no
